Flowerpool1001und2	Plantpool50b	Plantpool25a	Plantpool25b	Plantpool10b1	Plantpool10b2	Plantpool5x	PlantpoolB12345	Flowerpool50A	Flowerpool50B	Flowerpool25A	Flowerpool25B	Flowerpool10B2	Flowerpool5B	Plantpool100x	Plantpool50a	
11	8	8	10	5	5	11	5699	5	6	3	3	18	12	6	5	
7	5	3	7	4	1	3	6147	4	5	3	3	23	11	4	5	
7	0	0	6	9	4	3	6252	3	1	3	4	21	6	3	4	
15	2	4	7	4	0	4	5894	1	5	4	1	30	11	6	2	
9	0	1	3	4	0	4	5897	4	2	2	6	18	10	1	2	
5	5	1	5	0	3	7	5934	5	5	4	1	28	9	2	2	
3	4	2	3	3	4	2	5774	1	7	2	1	15	19	5	2	
5	5	5	2	4	3	6	5584	3	5	0	3	14	11	4	4	
8	0	3	2	1	1	2	5566	6	8	6	4	28	17	0	3	
8	0	2	1	0	2	0	5315	3	1	1	5	11	9	2	1	
3	2	3	5	3	1	2	5337	6	1	2	4	17	11	1	3	
6	0	2	2	3	1	2	5365	3	5	2	1	16	9	1	4	
9	2	4	4	5	6	2	5339	2	4	2	3	19	13	3	2	
9	2	2	5	2	1	4	5168	0	5	3	1	26	8	2	0	
6	8	0	3	2	2	1	5036	6	4	4	1	18	13	1	5	
11	1	1	2	3	1	0	4906	3	3	0	1	14	11	1	3	
2	4	2	4	1	1	1	5125	2	0	2	4	17	13	4	0	
2	1	0	3	2	0	2	5091	4	3	5	3	11	14	1	2	
5	2	2	2	0	0	2	5277	2	1	2	3	12	7	2	3	
1	5	3	2	0	0	1	4944	1	2	1	0	10	9	2	4	
4	3	6	2	2	1	6	5773	2	2	2	4	18	17	1	4	
8	1	1	0	2	1	4	5408	1	2	4	0	14	9	2	1	
9	6	0	2	2	0	3	5485	2	1	2	1	14	13	2	3	
3	1	0	1	0	1	0	5460	1	3	1	1	18	12	1	1	
8	2	0	0	0	0	2	5103	2	2	0	2	10	13	1	2	
2	2	0	3	1	0	2	5878	0	2	1	1	9	25	2	1	
