LHS	RHS	PCC
seed	Flowerpool1001und2	0.914605
seed	Plantpool50b	0.908942
seed	Plantpool25a	0.886646
seed	Plantpool25b	0.887021
seed	Plantpool10b1	0.833374
seed	Plantpool10b2	0.841007
seed	Plantpool5x	0.707784
seed	PlantpoolB12345	0.952814
seed	Flowerpool50A	0.909164
seed	Flowerpool50B	0.907773
seed	Flowerpool25A	0.889895
seed	Flowerpool25B	0.882987
seed	Flowerpool10B2	0.792705
seed	Flowerpool5B	0.679367
seed	Plantpool100x	0.899093
seed	Plantpool50a	0.909692
Flowerpool1001und2	Plantpool50b	0.877081
Flowerpool1001und2	Plantpool25a	0.852502
Flowerpool1001und2	Plantpool25b	0.857489
Flowerpool1001und2	Plantpool10b1	0.814993
Flowerpool1001und2	Plantpool10b2	0.819661
Flowerpool1001und2	Plantpool5x	0.677392
Flowerpool1001und2	PlantpoolB12345	0.894097
Flowerpool1001und2	Flowerpool50A	0.880644
Flowerpool1001und2	Flowerpool50B	0.88682
Flowerpool1001und2	Flowerpool25A	0.858289
Flowerpool1001und2	Flowerpool25B	0.858782
Flowerpool1001und2	Flowerpool10B2	0.779311
Flowerpool1001und2	Flowerpool5B	0.648242
Flowerpool1001und2	Plantpool100x	0.87069
Flowerpool1001und2	Plantpool50a	0.877353
Plantpool50b	Plantpool25a	0.856651
Plantpool50b	Plantpool25b	0.850343
Plantpool50b	Plantpool10b1	0.825132
Plantpool50b	Plantpool10b2	0.833035
Plantpool50b	Plantpool5x	0.709395
Plantpool50b	PlantpoolB12345	0.890139
Plantpool50b	Flowerpool50A	0.868541
Plantpool50b	Flowerpool50B	0.867549
Plantpool50b	Flowerpool25A	0.852747
Plantpool50b	Flowerpool25B	0.853591
Plantpool50b	Flowerpool10B2	0.785229
Plantpool50b	Flowerpool5B	0.664556
Plantpool50b	Plantpool100x	0.876853
Plantpool50b	Plantpool50a	0.869599
Plantpool25a	Plantpool25b	0.818819
Plantpool25a	Plantpool10b1	0.807372
Plantpool25a	Plantpool10b2	0.804714
Plantpool25a	Plantpool5x	0.70603
Plantpool25a	PlantpoolB12345	0.870743
Plantpool25a	Flowerpool50A	0.85867
Plantpool25a	Flowerpool50B	0.851159
Plantpool25a	Flowerpool25A	0.863787
Plantpool25a	Flowerpool25B	0.827832
Plantpool25a	Flowerpool10B2	0.749423
Plantpool25a	Flowerpool5B	0.653559
Plantpool25a	Plantpool100x	0.86297
Plantpool25a	Plantpool50a	0.851894
Plantpool25b	Plantpool10b1	0.830149
Plantpool25b	Plantpool10b2	0.844582
Plantpool25b	Plantpool5x	0.71328
Plantpool25b	PlantpoolB12345	0.860941
Plantpool25b	Flowerpool50A	0.849959
Plantpool25b	Flowerpool50B	0.85122
Plantpool25b	Flowerpool25A	0.814674
Plantpool25b	Flowerpool25B	0.862789
Plantpool25b	Flowerpool10B2	0.798834
Plantpool25b	Flowerpool5B	0.678511
Plantpool25b	Plantpool100x	0.858236
Plantpool25b	Plantpool50a	0.852511
Plantpool10b1	Plantpool10b2	0.799641
Plantpool10b1	Plantpool5x	0.696923
Plantpool10b1	PlantpoolB12345	0.812338
Plantpool10b1	Flowerpool50A	0.818811
Plantpool10b1	Flowerpool50B	0.81717
Plantpool10b1	Flowerpool25A	0.80055
Plantpool10b1	Flowerpool25B	0.847352
Plantpool10b1	Flowerpool10B2	0.84077
Plantpool10b1	Flowerpool5B	0.64624
Plantpool10b1	Plantpool100x	0.839426
Plantpool10b1	Plantpool50a	0.831599
Plantpool10b2	Plantpool5x	0.71929
Plantpool10b2	PlantpoolB12345	0.810754
Plantpool10b2	Flowerpool50A	0.820978
Plantpool10b2	Flowerpool50B	0.823757
Plantpool10b2	Flowerpool25A	0.796809
Plantpool10b2	Flowerpool25B	0.838174
Plantpool10b2	Flowerpool10B2	0.77566
Plantpool10b2	Flowerpool5B	0.669254
Plantpool10b2	Plantpool100x	0.833772
Plantpool10b2	Plantpool50a	0.823065
Plantpool5x	PlantpoolB12345	0.669235
Plantpool5x	Flowerpool50A	0.70531
Plantpool5x	Flowerpool50B	0.688896
Plantpool5x	Flowerpool25A	0.691262
Plantpool5x	Flowerpool25B	0.729211
Plantpool5x	Flowerpool10B2	0.554309
Plantpool5x	Flowerpool5B	0.83361
Plantpool5x	Plantpool100x	0.750973
Plantpool5x	Plantpool50a	0.720764
PlantpoolB12345	Flowerpool50A	0.889577
PlantpoolB12345	Flowerpool50B	0.887075
PlantpoolB12345	Flowerpool25A	0.870911
PlantpoolB12345	Flowerpool25B	0.857746
PlantpoolB12345	Flowerpool10B2	0.772657
PlantpoolB12345	Flowerpool5B	0.640962
PlantpoolB12345	Plantpool100x	0.882236
PlantpoolB12345	Plantpool50a	0.890803
Flowerpool50A	Flowerpool50B	0.873573
Flowerpool50A	Flowerpool25A	0.854925
Flowerpool50A	Flowerpool25B	0.849294
Flowerpool50A	Flowerpool10B2	0.786309
Flowerpool50A	Flowerpool5B	0.667758
Flowerpool50A	Plantpool100x	0.871677
Flowerpool50A	Plantpool50a	0.869437
Flowerpool50B	Flowerpool25A	0.850915
Flowerpool50B	Flowerpool25B	0.850405
Flowerpool50B	Flowerpool10B2	0.77557
Flowerpool50B	Flowerpool5B	0.64792
Flowerpool50B	Plantpool100x	0.870952
Flowerpool50B	Plantpool50a	0.869886
Flowerpool25A	Flowerpool25B	0.817493
Flowerpool25A	Flowerpool10B2	0.740533
Flowerpool25A	Flowerpool5B	0.641129
Flowerpool25A	Plantpool100x	0.857425
Flowerpool25A	Plantpool50a	0.851408
Flowerpool25B	Flowerpool10B2	0.803936
Flowerpool25B	Flowerpool5B	0.690063
Flowerpool25B	Plantpool100x	0.856332
Flowerpool25B	Plantpool50a	0.852374
Flowerpool10B2	Flowerpool5B	0.512512
Flowerpool10B2	Plantpool100x	0.814623
Flowerpool10B2	Plantpool50a	0.785274
Flowerpool5B	Plantpool100x	0.725037
Flowerpool5B	Plantpool50a	0.671337
Plantpool100x	Plantpool50a	0.876248
