sample	unit	platform	fq1	fq2
S1	1	ILLUMINA	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_flowerpools/illumina_ST-J00101_flowcellA_SampleIdFlowerpool1001und2_RunId0119_LaneId6/GrENE_PCRfree_S1_L006_R1_001.fastq.gz	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_flowerpools/illumina_ST-J00101_flowcellA_SampleIdFlowerpool1001und2_RunId0119_LaneId6/GrENE_PCRfree_S1_L006_R2_001.fastq.gz
S2	1	ILLUMINA	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_flowerpools/illumina_ST-J00101_flowcellA_SampleIdFlowerpool50A_RunId0119_LaneId6/GrENE_PCRfree_S2_L006_R1_001.fastq.gz	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_flowerpools/illumina_ST-J00101_flowcellA_SampleIdFlowerpool50A_RunId0119_LaneId6/GrENE_PCRfree_S2_L006_R2_001.fastq.gz
S3	1	ILLUMINA	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_flowerpools/illumina_ST-J00101_flowcellA_SampleIdFlowerpool50B_RunId0119_LaneId6/GrENE_PCRfree_S3_L006_R1_001.fastq.gz	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_flowerpools/illumina_ST-J00101_flowcellA_SampleIdFlowerpool50B_RunId0119_LaneId6/GrENE_PCRfree_S3_L006_R2_001.fastq.gz
S4	1	ILLUMINA	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_flowerpools/illumina_ST-J00101_flowcellA_SampleIdFlowerpool25A_RunId0119_LaneId6/GrENE_PCRfree_S4_L006_R1_001.fastq.gz	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_flowerpools/illumina_ST-J00101_flowcellA_SampleIdFlowerpool25A_RunId0119_LaneId6/GrENE_PCRfree_S4_L006_R2_001.fastq.gz
S5	1	ILLUMINA	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_flowerpools/illumina_ST-J00101_flowcellA_SampleIdFlowerpool25B_RunId0119_LaneId6/GrENE_PCRfree_S5_L006_R1_001.fastq.gz	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_flowerpools/illumina_ST-J00101_flowcellA_SampleIdFlowerpool25B_RunId0119_LaneId6/GrENE_PCRfree_S5_L006_R2_001.fastq.gz
S6	1	ILLUMINA	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_flowerpools/illumina_ST-J00101_flowcellA_SampleIdFlowerpool10B2_RunId0119_LaneId6/GrENE_PCRfree_S6_L006_R1_001.fastq.gz	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_flowerpools/illumina_ST-J00101_flowcellA_SampleIdFlowerpool10B2_RunId0119_LaneId6/GrENE_PCRfree_S6_L006_R2_001.fastq.gz
S7	1	ILLUMINA	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_flowerpools/illumina_ST-J00101_flowcellA_SampleIdFlowerpool5B_RunId0119_LaneId6/GrENE_PCRfree_S7_L006_R1_001.fastq.gz	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_flowerpools/illumina_ST-J00101_flowcellA_SampleIdFlowerpool5B_RunId0119_LaneId6/GrENE_PCRfree_S7_L006_R2_001.fastq.gz
S8	1	ILLUMINA	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_flowerpools/illumina_ST-J00101_flowcellA_SampleIdPlantpool100x_RunId0119_LaneId6/GrENE_PCRfree_S8_L006_R1_001.fastq.gz	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_flowerpools/illumina_ST-J00101_flowcellA_SampleIdPlantpool100x_RunId0119_LaneId6/GrENE_PCRfree_S8_L006_R2_001.fastq.gz
S9	1	ILLUMINA	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_flowerpools/illumina_ST-J00101_flowcellA_SampleIdPlantpool50a_RunId0119_LaneId6/GrENE_PCRfree_S9_L006_R1_001.fastq.gz	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_flowerpools/illumina_ST-J00101_flowcellA_SampleIdPlantpool50a_RunId0119_LaneId6/GrENE_PCRfree_S9_L006_R2_001.fastq.gz
S10	1	ILLUMINA	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_flowerpools/illumina_ST-J00101_flowcellA_SampleIdPlantpool50b_RunId0119_LaneId6/GrENE_PCRfree_S10_L006_R1_001.fastq.gz	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_flowerpools/illumina_ST-J00101_flowcellA_SampleIdPlantpool50b_RunId0119_LaneId6/GrENE_PCRfree_S10_L006_R2_001.fastq.gz
