Chr	Pos	R1	R2	R3
5	3167394	0.0322733	0.0150672	0.0539321
5	3167461	0.0102402	0.0458237	0.0386825
5	3167473	0.0868364	0.00816886	0.0140089
5	3167794	-nan	-nan	0.0702267
5	3167797	-nan	-nan	0.0891831
5	3167823	-nan	0.141487	-nan
5	3168045	-nan	-nan	-nan
5	3168049	-nan	-nan	-nan
5	3168065	-nan	-nan	-nan
5	3168133	0.0995682	-nan	-nan
5	3168214	-nan	-nan	-nan
5	3168814	0.0785942	0.225069	0.0115331
5	3168995	0.0649242	0.0336558	0.0784589
5	3169376	0.0539807	0.0501497	0.0889165
5	3169669	0.0225899	0.0603902	0.0812022
5	3169685	0.0292269	-nan	0.0255483
5	3169730	0.0216779	-nan	0.0267195
5	3169752	0.0129503	0.0973137	-nan
5	3169763	0.0409766	0.16212	0.059827
5	3169776	0.0351115	0.146697	0.134484
5	3170090	-nan	-nan	-nan
5	3170134	0.03912	0.138532	0.132606
5	3170182	-nan	-nan	-nan
5	3170443	-nan	0.0567573	-nan
5	3170766	0.0253102	-nan	-nan
5	3170855	0.0415912	-nan	0.0617319
5	3170878	-nan	-nan	0.03016
5	3171095	0.076678	0.0356972	-nan
5	3171238	0.0449889	0.0229841	-nan
5	3171245	-nan	-nan	-nan
5	3171509	0.134069	-nan	-nan
5	3171518	0.0831755	0.0957617	0.035991
5	3171525	0.0998922	0.0553753	-nan
5	3171655	0.0202303	-nan	-nan
5	3171765	-nan	-nan	-nan
5	3171767	-nan	0.0964801	-nan
5	3172090	-nan	-nan	-nan
5	3172098	-nan	-nan	-nan
5	3172236	0.0277111	0.0756753	0.0501474
5	3172366	-nan	-nan	-nan
5	3172369	0.0247139	0.0148769	-nan
5	3172412	0.0432626	0.0755767	-nan
5	3172512	-nan	0.0333648	0.0756601
5	3172670	-nan	-nan	-nan
5	3172698	-nan	0.0389134	0.0617207
5	3172900	0.0155426	0.0245475	0.0463472
5	3172910	0.0384753	0.155866	0.0589986
5	3173081	-nan	0.113199	-nan
5	3173084	-nan	-nan	-nan
5	3173146	-nan	0.0667943	-nan
5	3173182	0.0588435	0.0434684	0.135518
5	3173455	-nan	-nan	-nan
5	3173462	0.0245705	-nan	0.0609175
5	3173496	-nan	0.0542817	0.129102
5	3173523	-nan	-nan	0.0874712
5	3173548	0.0105564	-nan	0.100944
5	3173596	0.0466938	-nan	0.0218552
5	3173618	0.0396945	-nan	0.0290531
5	3173805	-nan	0.0930705	-nan
5	3173943	0.0516116	0.0640217	0.0490418
5	3174010	-nan	0.0291038	0.093815
5	3174127	-nan	-nan	-nan
5	3174141	-nan	-nan	-nan
5	3174212	-nan	-nan	-nan
5	3174225	-nan	-nan	0.0686141
5	3174538	-nan	-nan	0.0474403
5	3174852	-nan	-nan	-nan
5	3175015	0.0181077	0.116848	0.0817884
5	3175242	-nan	-nan	-nan
5	3175605	-nan	-nan	-nan
5	3175820	0.213702	0.0823263	0.0462347
5	3175826	0.186701	0.0772156	0.0461357
5	3175911	-nan	-nan	-nan
5	3176353	-nan	-nan	0.0525864
5	3176360	0.0123866	0.0598739	0.0418485
5	3176393	0.0136115	0.025734	-nan
5	3176426	0.0273908	0.0570232	0.0766884
5	3176470	0.0122832	0.0154269	0.0581622
5	3176500	0.0376231	0.153191	0.03055
5	3176523	0.035878	0.183649	0.0334902
5	3176549	0.0198201	0.0428361	0.0443804
5	3176574	0.0298021	0.0214779	0.0139397
5	3176671	0.0105031	0.11276	0.0440538
5	3176796	0.0242913	0.128848	0.0356359
5	3176797	0.0242913	0.128848	0.0356359
5	3176877	0.0886915	0.0450337	0.0258043
5	3176889	0.073904	0.0288916	-nan
5	3176892	0.00986281	0.047785	0.0263759
5	3176934	0.00925013	0.0655637	0.0314156
5	3177215	0.0167738	0.0551163	0.0776088
5	3177216	0.0133845	0.0618478	0.0856159
5	3177223	0.0112393	-nan	0.0526174
5	3177289	0.0329444	0.0953223	-nan
5	3177330	0.0160494	0.188649	0.0266833
5	3177338	0.0092627	0.0972266	0.0901861
5	3177417	0.0144235	0.160591	0.0857796
5	3177500	0.0177481	0.0357474	0.0374383
5	3178059	0.011061	0.0484129	0.0169751
5	3178231	0.0171687	0.035987	0.044703
5	3178246	0.0306018	0.0586436	0.0336263
5	3178295	0.0149235	0.06784	0.0294162
5	3178300	0.0132242	0.067635	0.0453456
5	3178304	0.0130382	0.0731987	0.035785
5	3178338	0.0610684	0.0166076	0.0139455
5	3178353	-nan	0.0290589	0.0372861
5	3178366	0.0548456	0.0167386	0.0128926
5	3178367	0.0534407	0.0167386	0.0107276
5	3178369	0.0502891	0.0175297	0.00903624
5	3178455	0.0452553	-nan	-nan
5	3178515	0.0137515	0.0777795	0.027084
5	3178614	0.00853637	0.0099371	0.00750951
5	3178749	0.0153925	0.0376146	0.0591192
