Chr	Pos	T1	T2	T3
5	3167394	0.0425575	0.0262663	0.109816
5	3167461	0.0784791	0.0231873	0.0218213
5	3167473	0.0295024	0.0268773	0.0276281
5	3167794	-nan	-nan	-nan
5	3167797	-nan	-nan	-nan
5	3167823	-nan	-nan	-nan
5	3168045	-nan	-nan	-nan
5	3168049	-nan	-nan	-nan
5	3168065	-nan	-nan	-nan
5	3168133	-nan	-nan	-nan
5	3168214	-nan	-nan	-nan
5	3168814	0.0961241	0.134644	0.0947296
5	3168995	0.0583909	0.0851855	0.0669653
5	3169376	0.067909	0.0936174	0.0902944
5	3169669	0.162611	0.0175692	0.0545781
5	3169685	0.0538499	0.0260375	-nan
5	3169730	0.0310355	0.0371484	-nan
5	3169752	-nan	0.0466415	0.0498907
5	3169763	0.181856	0.0559973	0.104156
5	3169776	0.272519	0.047196	0.153236
5	3170090	-nan	-nan	-nan
5	3170134	0.229825	0.0965436	0.0717941
5	3170182	-nan	-nan	-nan
5	3170443	-nan	0.166819	-nan
5	3170766	-nan	-nan	-nan
5	3170855	0.0738911	0.0631868	-nan
5	3170878	-nan	-nan	-nan
5	3171095	-nan	0.0526164	-nan
5	3171238	0.0978544	-nan	-nan
5	3171245	-nan	-nan	-nan
5	3171509	-nan	-nan	-nan
5	3171518	0.135314	0.045202	0.0271243
5	3171525	0.0557808	-nan	-nan
5	3171655	0.176881	-nan	0.116792
5	3171765	-nan	-nan	-nan
5	3171767	-nan	-nan	-nan
5	3172090	-nan	-nan	-nan
5	3172098	-nan	-nan	-nan
5	3172236	0.136226	0.0246408	0.0219253
5	3172366	-nan	-nan	-nan
5	3172369	-nan	-nan	0.0323094
5	3172412	0.0672554	-nan	0.0577333
5	3172512	0.0444693	0.0956286	-nan
5	3172670	-nan	-nan	-nan
5	3172698	0.071676	0.055174	-nan
5	3172900	0.0314616	0.0521607	0.0246942
5	3172910	0.139027	0.0718689	0.138549
5	3173081	-nan	-nan	-nan
5	3173084	-nan	-nan	-nan
5	3173146	-nan	-nan	-nan
5	3173182	0.135796	0.088786	0.108618
5	3173455	-nan	-nan	-nan
5	3173462	0.0368943	-nan	-nan
5	3173496	0.0408435	-nan	0.182557
5	3173523	0.0692777	0.113454	-nan
5	3173548	0.0579474	-nan	-nan
5	3173596	0.0176389	-nan	0.0217846
5	3173618	-nan	-nan	0.0199761
5	3173805	-nan	-nan	-nan
5	3173943	0.0958323	0.0463856	0.0479254
5	3174010	0.120941	-nan	0.0521147
5	3174127	-nan	-nan	-nan
5	3174141	-nan	-nan	-nan
5	3174212	-nan	-nan	-nan
5	3174225	-nan	-nan	-nan
5	3174538	-nan	-nan	-nan
5	3174852	0.175268	-nan	-nan
5	3175015	0.169533	0.0552844	0.0687589
5	3175242	-nan	-nan	-nan
5	3175605	-nan	-nan	-nan
5	3175820	0.0922382	0.118681	0.0674028
5	3175826	0.0859236	0.109466	0.0644608
5	3175911	-nan	-nan	-nan
5	3176353	0.0782495	-nan	-nan
5	3176360	0.0915388	0.0303343	0.019883
5	3176393	0.0934544	0.0552827	-nan
5	3176426	0.121482	0.0498596	0.0311717
5	3176470	0.0192872	0.052561	0.0740822
5	3176500	0.0985408	0.0952558	0.0382568
5	3176523	0.109222	0.11912	0.0273606
5	3176549	0.0219904	0.0716162	0.0342323
5	3176574	0.0194333	0.0254858	0.0219898
5	3176671	0.135077	0.0209018	0.0975635
5	3176796	0.150867	0.0360981	0.0338865
5	3176797	0.150867	0.0360981	0.0338865
5	3176877	0.0703296	0.0334329	0.0563165
5	3176889	-nan	0.0731741	-nan
5	3176892	0.049208	0.0332925	0.0187204
5	3176934	0.102343	0.0111032	0.0256319
5	3177215	0.168743	0.012428	0.0177459
5	3177216	0.180668	0.0154145	0.0245644
5	3177223	0.139213	-nan	0.0505047
5	3177289	-nan	-nan	-nan
5	3177330	0.143463	0.0721519	0.0565881
5	3177338	0.119837	0.0785523	0.0873239
5	3177417	0.238482	0.0460894	0.0566945
5	3177500	0.0259884	0.0557993	0.0251278
5	3178059	0.0337919	0.0300814	0.0346476
5	3178231	0.0127026	0.0757249	0.022707
5	3178246	0.0283945	0.0724986	0.0296671
5	3178295	0.029404	0.0679365	0.0309804
5	3178300	0.0597839	0.0627377	0.0319283
5	3178304	0.060453	0.0543453	0.0347752
5	3178338	0.0233669	0.0301577	0.0228951
5	3178353	-nan	0.0184697	0.0805731
5	3178366	0.017721	0.0309884	0.022761
5	3178367	0.016054	0.0299666	0.0197499
5	3178369	0.0146098	0.029273	0.0170017
5	3178455	-nan	-nan	-nan
5	3178515	0.108536	0.017306	0.0115424
5	3178614	0.00799849	0.0106188	0.0142745
5	3178749	0.0175766	0.0182666	0.268361
5	3178789	-nan	-nan	-nan
5	3178825	-nan	-nan	0.179319
5	3178835	0.103154	0.165552	0.12846
5	3178838	0.114188	0.167763	0.108166
5	3178847	-nan	0.193536	0.0880825
5	3178855	0.159595	0.229241	0.0955467
5	3178873	-nan	-nan	-nan
5	3178884	-nan	-nan	-nan
5	3178898	0.275865	-nan	-nan
5	3178909	-nan	-nan	-nan
