CHROM	START	END	SNPS	S1.S4	S1.S7	S1.S10	S1.S2	S1.S5	S1.S8	S1.S11	S1.S3	S1.S6	S1.S9	S1.S12	S4.S7	S4.S10	S4.S2	S4.S5	S4.S8	S4.S11	S4.S3	S4.S6	S4.S9	S4.S12	S7.S10	S7.S2	S7.S5	S7.S8	S7.S11	S7.S3	S7.S6	S7.S9	S7.S12	S10.S2	S10.S5	S10.S8	S10.S11	S10.S3	S10.S6	S10.S9	S10.S12	S2.S5	S2.S8	S2.S11	S2.S3	S2.S6	S2.S9	S2.S12	S5.S8	S5.S11	S5.S3	S5.S6	S5.S9	S5.S12	S8.S11	S8.S3	S8.S6	S8.S9	S8.S12	S11.S3	S11.S6	S11.S9	S11.S12	S3.S6	S3.S9	S3.S12	S6.S9	S6.S12	S9.S12
5	3165001	3165001	1	NA	NA	NA	NA	NA	NA	0.123377	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0454545	NA	NA	NA	NA	NA	NA	NA	NA	0.020979	NA	NA	NA	NA	NA	NA	NA	0.0649351	NA	NA	NA	NA	NA	NA	0.0181818	NA	NA	NA	NA	NA	0.0181818	NA	NA	NA	NA	0.026087	NA	NA	NA	NA	0.0181818	0.0181818	0.0327273	0.0383838	NA	NA	NA	NA	NA	NA
5	3165002	3165002	1	NA	NA	NA	0.129515	NA	NA	NA	NA	NA	NA	0.141146	NA	NA	0.0554217	NA	NA	NA	NA	NA	NA	0.042125	NA	0.026317	NA	NA	NA	NA	NA	NA	0.0335531	0.0757619	NA	NA	NA	NA	NA	NA	0.0701128	0.0216867	0.0319539	0.0283106	0.0240964	0.0120482	0.0361446	0.0278748	NA	NA	NA	NA	NA	0.0285714	NA	NA	NA	NA	0.0285714	NA	NA	NA	0.0380833	NA	NA	0.0285714	NA	0.0285714	0.0285714
5	3165006	3165006	1	NA	NA	NA	NA	0.137466	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0705087	NA	NA	NA	NA	NA	NA	NA	NA	0.0395229	NA	NA	NA	NA	NA	NA	NA	0.0784167	NA	NA	NA	NA	NA	NA	0.0285335	NA	NA	NA	NA	NA	NA	0.0306122	0.0339623	0.0240071	0.0204082	0.0362812	0.0372463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	3165010	3165010	1	0.146742	NA	NA	NA	NA	NA	NA	NA	0.137313	NA	NA	0.03985	0.0761714	0.0389803	0.037037	0.037037	0.0443507	0.037037	0.0353185	0.037037	0.037037	NA	NA	NA	NA	NA	NA	0.05261	NA	NA	NA	NA	NA	NA	NA	0.0830867	NA	NA	NA	NA	NA	NA	0.0238622	NA	NA	NA	NA	NA	0.0280719	NA	NA	NA	NA	0.0369863	NA	NA	NA	0.0415199	NA	NA	0.0286539	NA	NA	0.0396539	0.0421249	NA
5	3165014	3165014	1	NA	NA	0.102778	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.04	NA	NA	NA	NA	NA	NA	NA	NA	0.0285714	NA	NA	NA	NA	NA	NA	NA	NA	0.0285714	0.0285714	0.0285714	0.0285714	0.0285714	0.0285714	0.0285714	0.0357143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	3165018	3165018	1	NA	NA	NA	NA	NA	NA	0.123989	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0377358	NA	NA	NA	NA	NA	NA	NA	NA	0.0235849	NA	NA	NA	NA	NA	NA	NA	0.0697769	NA	NA	NA	NA	NA	NA	0.0188679	NA	NA	NA	NA	NA	0.0188679	NA	NA	NA	NA	0.0296496	NA	NA	NA	NA	0.0254307	0.0188679	0.0320755	0.0490566	NA	NA	NA	NA	NA	NA
5	3165019	3165019	1	NA	NA	NA	NA	NA	NA	NA	NA	0.140394	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0442452	NA	NA	NA	NA	NA	NA	NA	NA	0.0370059	NA	NA	NA	NA	NA	NA	NA	0.0884487	NA	NA	NA	NA	NA	NA	0.0263976	NA	NA	NA	NA	NA	0.0250721	NA	NA	NA	NA	0.0345727	NA	NA	NA	0.0399839	NA	NA	0.0333239	NA	NA	0.0369863	0.0547285	NA
5	3165022	3165022	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.142677	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0324495	NA	NA	NA	NA	NA	NA	NA	NA	0.0352758	NA	NA	NA	NA	NA	NA	NA	0.0717703	NA	NA	NA	NA	NA	NA	0.034402	NA	NA	NA	NA	NA	0.030303	NA	NA	NA	NA	0.030303	NA	NA	NA	0.039798	NA	NA	0.030303	NA	0.030303	0.030303
5	3165027	3165027	1	NA	NA	NA	NA	NA	0.145833	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0473529	NA	NA	NA	NA	NA	NA	NA	NA	0.0388278	NA	NA	NA	NA	NA	NA	NA	0.075188	NA	NA	NA	NA	NA	NA	0.0379572	NA	NA	NA	NA	NA	0.0299107	NA	NA	NA	NA	NA	0.0433333	0.0334748	0.0286905	0.0285714	0.0452395	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	3165029	3165029	1	NA	NA	NA	NA	NA	NA	NA	0.13891	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0409856	NA	NA	NA	NA	NA	NA	NA	NA	0.0310375	NA	NA	NA	NA	NA	NA	NA	0.0731444	NA	NA	NA	NA	NA	NA	0.0301598	NA	NA	NA	NA	NA	0.025641	NA	NA	NA	NA	0.031339	NA	NA	NA	0.0355795	NA	NA	NA	0.025641	0.031339	0.0480118	NA	NA	NA
