Chr	Pos	R1R2	R1R3	R2R3
5	3167394	0.0172061	-0.0216588	-0.0388649
5	3167461	-0.0355834	-0.0284422	0.00714122
5	3167473	0.0786675	0.0728275	-0.00584
5	3167794	-nan	-nan	-nan
5	3167797	-nan	-nan	-nan
5	3167823	-nan	-nan	-nan
5	3168045	-nan	-nan	-nan
5	3168049	-nan	-nan	-nan
5	3168065	-nan	-nan	-nan
5	3168133	-nan	-nan	-nan
5	3168214	-nan	-nan	-nan
5	3168814	-0.146475	0.0670611	0.213536
5	3168995	0.0312684	-0.0135347	-0.0448031
5	3169376	0.00383104	-0.0349358	-0.0387668
5	3169669	-0.0378003	-0.0586123	-0.020812
5	3169685	-nan	0.00367853	-nan
5	3169730	-nan	-0.00504153	-nan
5	3169752	-0.0843634	-nan	-nan
5	3169763	-0.121144	-0.0188504	0.102293
5	3169776	-0.111586	-0.099373	0.0122127
5	3170090	-nan	-nan	-nan
5	3170134	-0.0994124	-0.0934858	0.00592657
5	3170182	-nan	-nan	-nan
5	3170443	-nan	-nan	-nan
5	3170766	-nan	-nan	-nan
5	3170855	-nan	-0.0201406	-nan
5	3170878	-nan	-nan	-nan
5	3171095	0.0409809	-nan	-nan
5	3171238	0.0220048	-nan	-nan
5	3171245	-nan	-nan	-nan
5	3171509	-nan	-nan	-nan
5	3171518	-0.0125863	0.0471845	0.0597708
5	3171525	0.0445169	-nan	-nan
5	3171655	-nan	-nan	-nan
5	3171765	-nan	-nan	-nan
5	3171767	-nan	-nan	-nan
5	3172090	-nan	-nan	-nan
5	3172098	-nan	-nan	-nan
5	3172236	-0.0479642	-0.0224363	0.0255279
5	3172366	-nan	-nan	-nan
5	3172369	0.00983696	-nan	-nan
5	3172412	-0.0323141	-nan	-nan
5	3172512	-nan	-nan	-0.0422953
5	3172670	-nan	-nan	-nan
5	3172698	-nan	-nan	-0.0228073
5	3172900	-0.00900488	-0.0308045	-0.0217997
5	3172910	-0.117391	-0.0205233	0.0968676
5	3173081	-nan	-nan	-nan
5	3173084	-nan	-nan	-nan
5	3173146	-nan	-nan	-nan
5	3173182	0.0153751	-0.0766745	-0.0920496
5	3173455	-nan	-nan	-nan
5	3173462	-nan	-0.036347	-nan
5	3173496	-nan	-nan	-0.0748199
5	3173523	-nan	-nan	-nan
5	3173548	-nan	-0.0903874	-nan
5	3173596	-nan	0.0248385	-nan
5	3173618	-nan	0.0106414	-nan
5	3173805	-nan	-nan	-nan
5	3173943	-0.0124101	0.00256976	0.0149799
5	3174010	-nan	-nan	-0.0647112
5	3174127	-nan	-nan	-nan
5	3174141	-nan	-nan	-nan
5	3174212	-nan	-nan	-nan
5	3174225	-nan	-nan	-nan
5	3174538	-nan	-nan	-nan
5	3174852	-nan	-nan	-nan
5	3175015	-0.0987407	-0.0636807	0.03506
5	3175242	-nan	-nan	-nan
5	3175605	-nan	-nan	-nan
5	3175820	0.131376	0.167468	0.0360917
5	3175826	0.109485	0.140565	0.0310799
5	3175911	-nan	-nan	-nan
5	3176353	-nan	-nan	-nan
5	3176360	-0.0474873	-0.0294619	0.0180254
5	3176393	-0.0121225	-nan	-nan
5	3176426	-0.0296324	-0.0492975	-0.0196651
5	3176470	-0.00314376	-0.045879	-0.0427353
5	3176500	-0.115568	0.00707308	0.122641
5	3176523	-0.147771	0.00238779	0.150159
5	3176549	-0.023016	-0.0245603	-0.00154428
5	3176574	0.00832414	0.0158624	0.00753823
5	3176671	-0.102257	-0.0335507	0.0687058
5	3176796	-0.104557	-0.0113446	0.0932125
5	3176797	-0.104557	-0.0113446	0.0932125
5	3176877	0.0436578	0.0628872	0.0192294
5	3176889	0.0450124	-nan	-nan
5	3176892	-0.0379222	-0.0165131	0.0214091
5	3176934	-0.0563136	-0.0221654	0.0341482
5	3177215	-0.0383424	-0.060835	-0.0224925
5	3177216	-0.0484633	-0.0722313	-0.0237681
5	3177223	-nan	-0.041378	-nan
5	3177289	-0.0623778	-nan	-nan
5	3177330	-0.1726	-0.0106339	0.161966
5	3177338	-0.0879639	-0.0809234	0.00704053
5	3177417	-0.146167	-0.0713561	0.074811
5	3177500	-0.0179992	-0.0196902	-0.00169094
5	3178059	-0.0373519	-0.00591417	0.0314378
5	3178231	-0.0188183	-0.0275343	-0.008716
5	3178246	-0.0280418	-0.00302442	0.0250174
5	3178295	-0.0529165	-0.0144927	0.0384238
5	3178300	-0.0544108	-0.0321214	0.0222893
5	3178304	-0.0601606	-0.0227469	0.0374137
5	3178338	0.0444608	0.0471229	0.00266209
5	3178353	-nan	-nan	-0.0082272
5	3178366	0.038107	0.0419531	0.00384607
5	3178367	0.036702	0.0427131	0.00601107
5	3178369	0.0327595	0.0412529	0.00849343
5	3178455	-nan	-nan	-nan
5	3178515	-0.064028	-0.0133325	0.0506955
5	3178614	-0.00140073	0.00102687	0.00242759
5	3178749	-0.0222221	-0.0437267	-0.0215045
5	3178789	-nan	-nan	-nan
5	3178825	-nan	-0.10972	-nan
5	3178835	0.0565513	-0.000679775	-0.0572311
5	3178838	0.0720193	0.00782288	-0.0641964
5	3178847	-nan	-nan	-0.0398077
5	3178855	0.058584	0.0262921	-0.0322919
5	3178873	-nan	-nan	-nan
5	3178884	-nan	-nan	-nan
5	3178898	-nan	-nan	-nan
5	3178909	-nan	-nan	-nan
5	3178981	-nan	-nan	-nan
5	3179070	-nan	-nan	-nan
5	3179081	-nan	-nan	-nan
5	3179086	-nan	-nan	-nan
5	3179105	0.0651338	-0.203082	-0.268216
5	3179123	-nan	-nan	-nan
5	3179170	-nan	-nan	-nan
5	3179171	-nan	-nan	-nan
5	3179380	-nan	-nan	-nan
5	3179429	-nan	-nan	-nan
5	3179430	-nan	-nan	-nan
5	3179545	-nan	-nan	-nan
5	3179569	-nan	-nan	-nan
5	3179631	-nan	-0.0951524	-nan
5	3179634	-nan	-nan	-nan
5	3179648	-nan	-nan	-nan
5	3179654	-nan	-nan	-nan
5	3179881	-nan	-nan	0.0288399
5	3179882	-nan	-nan	-nan
5	3179886	-0.0437002	-0.0168727	0.0268275
5	3179995	-nan	-nan	-nan
5	3180014	-nan	-nan	-nan
5	3180037	-nan	-nan	-nan
5	3180047	-nan	-nan	-nan
5	3180074	-nan	-nan	0.103384
5	3180075	-0.0758775	0.254706	0.330583
5	3180209	-nan	-nan	-nan
5	3180218	-nan	-nan	-nan
5	3180228	-nan	-nan	-nan
