Chr	Pos	S1S2	S1S3	S1S4	S1S5	S1S6	S1S7	S1S8	S1S9	S1S10	S1S11	S1S12	S2S3	S2S4	S2S5	S2S6	S2S7	S2S8	S2S9	S2S10	S2S11	S2S12	S3S4	S3S5	S3S6	S3S7	S3S8	S3S9	S3S10	S3S11	S3S12	S4S5	S4S6	S4S7	S4S8	S4S9	S4S10	S4S11	S4S12	S5S6	S5S7	S5S8	S5S9	S5S10	S5S11	S5S12	S6S7	S6S8	S6S9	S6S10	S6S11	S6S12	S7S8	S7S9	S7S10	S7S11	S7S12	S8S9	S8S10	S8S11	S8S12	S9S10	S9S11	S9S12	S10S11	S10S12	S11S12
5	3167394	0.0190283	0.0181999	0.0657067	0.0350638	0.030725	0.0214325	0.0436084	0.0117672	0.0237094	0.0115947	0.114135	0.0387623	0.0310166	0.01093	0.00928616	0.00251121	0.0253756	0.0203725	0.0529927	0.00683454	0.0645272	0.12071	0.0668593	0.0585999	0.0486023	0.0819144	0.0279447	0.0269871	0.0389463	0.179766	0.0158444	0.0205855	0.0242083	0.019613	0.0541828	0.117826	0.0346127	0.00851739	0.00142437	0.00775757	0.013765	0.0244322	0.0756806	0.0129068	0.0379163	0.0068525	0.0141942	0.0200156	0.0693225	0.0116198	0.0456732	0.0220098	0.0223344	0.0577921	0.00579705	0.0544318	0.0248907	0.0868254	0.0266363	0.0396423	0.0396458	0.0174193	0.0958579	0.0416089	0.172977	0.0701527
5	3167461	0.0286749	0.0372656	0.00822796	0.0361783	0.037351	0.011308	0.0152173	0.0462413	0.0452418	0.0692212	0.0083323	0.00330357	0.0254728	0.0847003	0.0913714	0.0323768	0.0377849	0.0194253	0.0897632	0.0176142	0.0166329	0.0326473	0.094731	0.101603	0.0427974	0.0437744	0.015686	0.101734	0.0162778	0.0194025	0.0265812	0.0276895	0.00553003	0.00663821	0.0530056	0.0406602	0.0719634	0.0071574	0.00274438	0.0170447	0.0147974	0.124765	0.0239694	0.158359	0.0462288	0.0216646	0.0158974	0.127172	0.02689	0.163795	0.0480751	0.00645233	0.070859	0.0294114	0.0868515	0.0161624	0.0649407	0.0357851	0.0909244	0.0150423	0.134661	0.0201716	0.0300621	0.153296	0.0602029	0.0514387
5	3167473	0.129512	0.0680327	0.123754	0.10529	0.0986232	0.123952	0.191691	0.0842615	0.0603601	0.0998468	0.153681	0.0189644	0.0035095	0.00758848	0.00990838	0.000744773	0.0118577	0.0198907	0.047713	0.00617478	0.00770055	0.018711	0.00765593	0.00933304	0.0171173	0.0469507	0.0159623	0.023764	0.0134724	0.0322752	0.0083632	0.00754548	0.00413507	0.014436	0.0155413	0.0488772	0.0065846	0.00483735	0.00304424	0.00700367	0.0199296	0.0117447	0.0371334	0.00895591	0.0151911	0.00960192	0.0224471	0.00849741	0.0380431	0.00799706	0.0152025	0.0140411	0.0193715	0.044393	0.00521545	0.00913612	0.0341599	0.0851328	0.0255952	0.0085111	0.0434583	0.0168331	0.0213456	0.033364	0.0675633	0.015076
5	3167794	-nan	0.11461	-nan	-nan	0.11409	-nan	-nan	-nan	-nan	-nan	-nan	0.0951252	-nan	-nan	0.0616699	-nan	-nan	-nan	-nan	-nan	-nan	0.100789	0.0909091	0.0251302	0.0959441	0.173554	0.0984222	0.130144	0.100182	0.150292	-nan	0.100261	-nan	-nan	-nan	-nan	-nan	-nan	0.0662715	-nan	-nan	-nan	-nan	-nan	-nan	0.0680014	0.168975	0.0934273	0.123546	0.0669135	0.149793	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
5	3167797	-nan	0.11461	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0.0951252	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0.100789	0.0909091	0.0909091	0.0959441	0.173554	0.0984222	0.130144	0.100182	0.150292	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
5	3167823	0.328054	-nan	-nan	-nan	-nan	-nan	0.242017	0.331073	0.2125	-nan	-nan	0.262542	0.23381	0.277592	0.217391	0.2181	0.0574619	0.0480945	0.0666261	0.24571	0.367893	-nan	-nan	-nan	-nan	0.204038	0.277487	0.138672	-nan	-nan	-nan	-nan	-nan	0.206127	0.279384	0.125	-nan	-nan	-nan	-nan	0.201103	0.274823	0.15625	-nan	-nan	-nan	0.200098	0.273911	0.125	-nan	-nan	0.208446	0.281489	0.125	-nan	-nan	0.0247981	0.0688854	0.212157	0.28393	0.0901213	0.284857	0.368062	0.125	0.261719	-nan
5	3168045	-nan	-nan	-nan	-nan	0.214366	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0.0802876	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0.0861562	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0.136026	-nan	-nan	-nan	-nan	-nan	-nan	0.0966836	-nan	-nan	-nan	-nan	-nan	-nan	0.0811199	0.115646	0.0714286	0.131668	0.0854271	0.175342	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
5	3168049	-nan	-nan	-nan	-nan	-nan	0.173	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0.0714286	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0.0761662	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0.129464	-nan	-nan	-nan	-nan	-nan	-nan	0.0955473	-nan	-nan	-nan	-nan	-nan	0.0714286	-nan	-nan	-nan	-nan	-nan	0.115646	0.0714286	0.12251	0.0757812	0.253827	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
5	3168065	-nan	-nan	-nan	-nan	0.182302	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0.0857297	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0.0814698	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0.123031	-nan	-nan	-nan	-nan	-nan	-nan	0.0974236	-nan	-nan	-nan	-nan	-nan	-nan	0.10572	0.105325	0.0769231	0.121112	0.0908388	0.258416	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
5	3168133	-nan	-nan	0.11228	-nan	-nan	0.168409	-nan	0.204042	0.104	-nan	-nan	-nan	0.0927436	-nan	-nan	0.157895	-nan	0.186525	0.0874074	-nan	-nan	0.0909091	-nan	-nan	0.157895	-nan	0.172121	0.0666667	-nan	-nan	0.0909091	0.0909091	0.0209258	0.107438	0.0329847	0.0358966	0.0978136	0.173554	-nan	0.157895	-nan	0.179721	0.0874074	-nan	-nan	0.157895	-nan	0.168023	0.0666667	-nan	-nan	0.166316	0.0168261	0.0681953	0.161842	0.22807	0.193523	0.104	-nan	-nan	0.0736645	0.191071	0.257338	0.0874074	0.17037	-nan
